"statistikkvariabel"	"statistikkmål"	"yrke"	"sektor"	"næring (SN2007)"	"kjønn"	"2015 I alt"	"2015 Heltidsansatte"	"2015 Deltidsansatte"	"2016 I alt"	"2016 Heltidsansatte"	"2016 Deltidsansatte"	"2017 I alt"	"2017 Heltidsansatte"	"2017 Deltidsansatte"	"2018 I alt"	"2018 Heltidsansatte"	"2018 Deltidsansatte"	"2019 I alt"	"2019 Heltidsansatte"	"2019 Deltidsansatte"	"2020 I alt"	"2020 Heltidsansatte"	"2020 Deltidsansatte"	"2021 I alt"	"2021 Heltidsansatte"	"2021 Deltidsansatte"	"2022 I alt"	"2022 Heltidsansatte"	"2022 Deltidsansatte"
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"10-12 Nærings-, drikkevare- og tobakksindustri"	"Menn"	40550	42520	33860	41680	42360	35260	42750	43310	36770	43900	44480	37560	45460	46100	38180	45960	46630	38450	47990	48690	40760	49840	50660	41530
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"10-12 Nærings-, drikkevare- og tobakksindustri"	"Kvinner"	35710	38420	31320	36950	37960	32790	37990	38930	33540	39120	40090	34150	40620	41700	34590	41350	42450	35020	43240	44530	36050	45280	46730	37360
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"13-15 Tekstil-, bekledning- og lærvareindustri"	"Begge kjønn"	36560	37860	31520	38900	40270	32620	38550	39470	33060	40060	41120	33300	41450	42390	35380	42990	44290	35200	45480	46750	36490	47090	48340	38540
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"13-15 Tekstil-, bekledning- og lærvareindustri"	"Menn"	39850	40470	34850	43150	44150	35460	41710	42110	36340	43770	44450	34730	45080	45630	38300	46710	47630	36830	50140	50880	39700	51350	52160	41050
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"13-15 Tekstil-, bekledning- og lærvareindustri"	"Kvinner"	32950	34170	30210	34100	35100	31180	34760	35630	31870	35780	36590	32770	37340	38140	34170	38600	39720	34430	40150	41310	35200	42260	43380	37440
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"16 Trelast- og trevareindustri"	"Begge kjønn"	36160	36880	32710	37300	38190	33600	38350	38540	35830	39590	39760	37280	41080	41300	37910	41950	42160	38950	43910	44180	40120	46140	46480	41650
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"16 Trelast- og trevareindustri"	"Menn"	36290	36920	32660	37440	38280	33570	38480	38600	36160	39730	39810	38080	41220	41350	38420	42090	42220	39430	44070	44290	40170	46350	46600	42030
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"16 Trelast- og trevareindustri"	"Kvinner"	35300	36520	32860	36300	37490	33710	37510	38090	35300	38640	39330	36000	40170	40850	37070	41070	41710	38100	42860	43430	40020	44910	45640	40820
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"17 Papir- og papirvareindustri"	"Begge kjønn"	38780	39160	33040	40200	40380	35290	43480	43620	39420	43940	44270	37140	44850	45070	39180	45910	46110	40460	48210	48440	42410	52090	52240	47500
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"17 Papir- og papirvareindustri"	"Menn"	39150	39470	32810	40610	40750	34420	43660	43750	:	44170	44470	35100	45000	45200	37780	45870	46040	39000	48040	48270	41070	52040	52170	46970
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"17 Papir- og papirvareindustri"	"Kvinner"	36520	37070	:	37800	37980	:	42510	42840	:	42810	43190	:	44090	44370	:	46070	46470	:	49000	49280	:	52290	52580	:
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"18 Trykking, grafisk industri"	"Begge kjønn"	39540	40180	34220	40300	41280	33730	41020	41660	35900	41930	42590	36700	43160	43860	37380	43280	44190	37390	45160	45950	39410	47320	48070	41530
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"18 Trykking, grafisk industri"	"Menn"	40890	41280	35750	41770	42600	34090	42570	43080	36640	43560	44100	37700	45010	45550	38790	45020	45790	38480	46860	47460	41140	49210	49720	44010
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"18 Trykking, grafisk industri"	"Kvinner"	35780	36580	32830	36480	37360	33310	37080	37540	35140	37970	38490	35580	38760	39390	35880	38970	39730	36040	41110	41980	37340	42920	43830	38570
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"19-21 Oljeraffinering, kjemisk og farmasøytisk industri"	"Begge kjønn"	51750	52350	42460	53570	54420	41960	54600	55390	42920	56220	56910	45160	58860	59260	48760	59070	59390	50330	61480	61800	52270	65460	65790	55710
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"19-21 Oljeraffinering, kjemisk og farmasøytisk industri"	"Menn"	52670	53050	42600	54320	54860	41540	55300	55770	42760	56790	57210	45070	59440	59730	47830	59600	59840	49490	61740	61960	52460	65890	66120	56870
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"19-21 Oljeraffinering, kjemisk og farmasøytisk industri"	"Kvinner"	49600	50560	42360	51840	53290	42260	53010	54440	43040	54910	56160	45220	57570	58160	49500	57900	58340	51060	60900	61420	52090	64540	65080	54540
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"22-23 Gummi-, plast- og mineralsk industri"	"Begge kjønn"	40880	41810	35230	42120	42710	36210	43140	43480	37740	44570	44810	40430	46030	46340	41010	46850	47230	41270	48400	48860	41220	50810	51200	44140
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"22-23 Gummi-, plast- og mineralsk industri"	"Menn"	41170	41920	35980	42350	42760	37150	43260	43460	38560	44700	44800	42240	46190	46350	42460	46940	47160	42670	48580	48860	42590	51030	51290	45300
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"22-23 Gummi-, plast- og mineralsk industri"	"Kvinner"	39210	41130	32850	40770	42390	34090	42390	43620	36540	43760	44930	37820	45050	46240	38700	46280	47730	38710	47310	48850	38830	49500	50660	41910
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"24 Metallindustri"	"Begge kjønn"	47690	48200	39100	48080	48540	39360	49340	49620	41520	51810	52110	42830	53100	53470	42130	53740	53990	45850	55670	56010	45280	58870	59170	48850
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"24 Metallindustri"	"Menn"	47460	47890	37830	47830	48250	38260	48950	49190	40380	51310	51580	41310	52640	52960	40250	53290	53470	45450	55240	55530	44010	58480	58740	47930
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"24 Metallindustri"	"Kvinner"	48970	50090	41420	49510	50280	42180	51560	52210	43780	54490	55110	45980	55530	56200	45960	56060	56780	46510	57830	58500	47860	60640	61220	50670
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"25 Metallvareindustri"	"Begge kjønn"	41070	42130	35210	41770	42470	35410	43030	43300	38740	43680	44110	37310	45380	45730	40010	46740	47120	41100	48390	48840	41450	51180	51560	44520
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"25 Metallvareindustri"	"Menn"	41050	42080	34990	41760	42420	34960	43020	43210	38970	43600	43980	36610	45250	45540	39710	46620	46930	41000	48260	48640	40950	51000	51280	44840
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"25 Metallvareindustri"	"Kvinner"	41230	42490	36360	41850	42900	37060	43120	44050	38260	44300	45280	39050	46410	47350	40810	47590	48610	41370	49400	50400	42830	52490	53740	43730
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"26-27 Data- og elektrisk utstyrsindustri"	"Begge kjønn"	50420	51160	40040	51950	52780	39770	52900	53550	41280	54560	55070	43470	56440	56900	45000	57350	57790	46390	60050	60520	48430	62560	63060	50020
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"26-27 Data- og elektrisk utstyrsindustri"	"Menn"	52680	53140	42750	54100	54730	41180	55150	55570	43760	56740	57000	47280	58580	58850	47980	59480	59730	49960	62420	62690	52460	64990	65290	54260
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"26-27 Data- og elektrisk utstyrsindustri"	"Kvinner"	42330	43210	37020	43940	44840	37910	44750	45570	38540	46740	47530	40010	48570	49230	42070	49640	50300	42500	51890	52590	43890	54330	55110	44780
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"28 Maskinindustri"	"Begge kjønn"	49530	50350	38650	49770	50290	40030	51100	51560	41420	53370	53850	42890	55110	55560	44230	54960	55440	44720	56870	57370	45030	60140	60640	48080
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"28 Maskinindustri"	"Menn"	50650	51430	38690	50550	50960	40600	51840	52170	41820	54090	54440	43480	55860	56200	44990	55640	56020	45630	57490	57880	45540	60810	61210	49190
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"28 Maskinindustri"	"Kvinner"	43930	44640	38550	45330	46190	38970	46850	47660	40790	49380	50240	41870	51010	51830	42890	51230	52100	42760	53550	54420	43960	56630	57540	45600
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"29-30 Annen verkstedindustri"	"Begge kjønn"	47740	48980	36980	48150	48920	39910	48560	48910	41430	49140	49470	41580	50370	50670	42850	51230	51540	43250	52640	52990	44060	55620	56030	45590
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"29-30 Annen verkstedindustri"	"Menn"	47790	49070	36210	48100	48790	39980	48590	48880	41290	49080	49360	41160	50260	50520	42410	51030	51300	42670	52470	52760	44000	55480	55830	45600
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"29-30 Annen verkstedindustri"	"Kvinner"	47470	48510	40170	48450	49660	39680	48420	49130	41770	49520	50140	42670	51060	51630	44000	52460	53040	44840	53640	54350	44210	56400	57160	45550
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"31-32 Møbelindustri og annen industri"	"Begge kjønn"	38420	39620	33170	39490	40270	34610	41170	41920	35960	42290	42990	37170	43820	44480	38660	44530	45220	39250	46020	46660	40540	49580	50280	43560
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"31-32 Møbelindustri og annen industri"	"Menn"	39820	40780	33300	40830	41380	34820	42590	43090	36660	43520	43970	37840	45030	45390	40210	45750	46170	40600	46980	47370	41670	50770	51240	44680
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"31-32 Møbelindustri og annen industri"	"Kvinner"	35970	37140	33070	37150	37950	34480	38730	39590	35520	40160	41010	36740	41780	42720	37660	42490	43430	38340	44440	45350	39750	47680	48580	42720
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"33 Maskinreparasjon og -installasjon"	"Begge kjønn"	45880	47050	37450	46500	47190	37790	46990	47420	39910	47970	48590	38810	49420	49990	40610	50140	50650	42170	51840	52600	41490	54630	55180	45020
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"33 Maskinreparasjon og -installasjon"	"Menn"	46020	47180	37330	46600	47220	37730	47010	47350	40250	47970	48520	38650	49420	49910	40640	50170	50600	42350	51820	52540	41420	54640	55110	45340
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"33 Maskinreparasjon og -installasjon"	"Kvinner"	44830	46070	38120	45660	46940	38050	46840	48160	38900	47930	49330	39370	49420	50770	40500	49900	51130	41520	51940	53240	41840	54530	55840	43770
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"41 Oppføring av bygninger"	"Begge kjønn"	40440	41880	34150	41750	42250	36760	42840	43180	38270	44370	44700	39810	45870	46160	41680	47090	47320	43620	48970	49320	43720	51420	51830	45200
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"41 Oppføring av bygninger"	"Menn"	40130	41530	33850	41430	41860	36520	42470	42750	38060	43920	44190	39520	45430	45640	41660	46610	46770	43720	48470	48730	43940	50850	51160	45350
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"41 Oppføring av bygninger"	"Kvinner"	43980	46080	36840	45380	47350	37830	46950	48830	39010	49310	51200	40800	50560	52500	41740	52270	54210	43280	54110	56260	42920	57120	59550	44750
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"42 Anleggsvirksomhet"	"Begge kjønn"	44410	45160	38680	46320	46720	41480	47540	47860	43210	49130	49440	44880	51020	51360	45900	52490	52740	48790	54620	55030	48260	57030	57420	50180
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"42 Anleggsvirksomhet"	"Menn"	44610	45170	39930	46400	46650	42960	47590	47750	44930	49110	49270	46660	50970	51180	47520	52540	52620	51060	54670	54910	50500	57070	57310	52340
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"42 Anleggsvirksomhet"	"Kvinner"	42590	45100	32870	45580	47370	35760	47190	48830	36810	49300	51040	38020	51420	52960	39710	52160	53640	39470	54230	55910	40060	56760	58310	42400
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"43 Spesialisert bygge- og anleggsvirksomhet"	"Begge kjønn"	38380	39080	35120	39620	39910	36770	40620	40820	37880	41780	41960	39320	43140	43270	41340	44190	44350	42140	45610	45840	42440	47850	48090	44320
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"43 Spesialisert bygge- og anleggsvirksomhet"	"Menn"	38450	39130	35120	39700	39940	36910	40680	40830	38140	41850	41980	39590	43190	43270	41860	44250	44350	42620	45690	45850	42820	47930	48120	44630
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"43 Spesialisert bygge- og anleggsvirksomhet"	"Kvinner"	37320	38250	35170	38450	39280	36190	39670	40540	37040	40840	41600	38390	42420	43250	39560	43400	44260	40370	44610	45550	41140	46770	47680	43230
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"45 Handel med og reparasjon av motorvogner"	"Begge kjønn"	37860	38440	32130	39120	39510	34670	40070	40400	35250	41110	41470	35650	42460	42820	36870	43680	44070	37600	45650	46170	38250	47750	48300	39800
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"45 Handel med og reparasjon av motorvogner"	"Menn"	38100	38570	32240	39330	39650	35010	40250	40500	35630	41270	41550	35790	42660	42930	37220	43880	44190	37900	45860	46290	38490	48000	48460	39960
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"45 Handel med og reparasjon av motorvogner"	"Kvinner"	35950	37120	31810	37330	38180	33610	38560	39450	34290	39800	40690	35290	40840	41760	35970	42000	42970	36830	43960	45120	37560	45880	46970	39320
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"46 Agentur- og engroshandel, unntatt med motorvogner"	"Begge kjønn"	45460	46420	35830	46730	47580	37040	47940	48760	38000	49310	50130	38820	51130	51970	40250	52890	53830	41100	55250	56230	42380	57740	58820	43580
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"46 Agentur- og engroshandel, unntatt med motorvogner"	"Menn"	46850	47530	36910	48180	48790	38050	49390	49940	39240	50690	51270	39850	52610	53210	41410	54420	55120	42230	56830	57560	43630	59350	60170	44770
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"46 Agentur- og engroshandel, unntatt med motorvogner"	"Kvinner"	41690	43090	34710	42830	44000	36000	44070	45260	36760	45660	46850	37750	47250	48420	39030	48860	50160	39840	51200	52570	40940	53670	55170	42180
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"47 Detaljhandel, unntatt med motorvogner"	"Begge kjønn"	32680	36740	28210	33690	35910	30060	34550	36720	30830	35630	38050	31560	36720	39270	32390	37940	40980	33030	39850	43530	34000	41290	45460	34840
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"47 Detaljhandel, unntatt med motorvogner"	"Menn"	35090	39010	27750	36100	38650	29560	37030	39490	30390	38120	40810	31080	39260	42100	31860	40550	43780	32720	42770	46550	33760	44150	48260	34690
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"47 Detaljhandel, unntatt med motorvogner"	"Kvinner"	31230	34750	28380	32200	33730	30250	33020	34540	31000	34070	35840	31750	35130	37030	32610	36230	38660	33160	37930	41010	34100	39390	43100	34900
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"49.1_49.3 Landtransport med passasjerer"	"Begge kjønn"	36880	37490	33530	38090	38800	34460	38500	39310	34290	39390	40170	35290	40440	41320	36000	41500	42490	36640	43540	44670	38280	45540	46730	40100
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"49.1_49.3 Landtransport med passasjerer"	"Menn"	36600	37160	33450	37830	38510	34300	38130	38900	34080	38950	39660	35160	40010	40840	35770	40940	41870	36330	43030	44100	38060	44940	46090	39780
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"49.1_49.3 Landtransport med passasjerer"	"Kvinner"	38700	39800	33920	39840	40910	35380	41020	42220	35580	42410	43790	36080	43390	44660	37420	45150	46460	38680	46800	48300	39680	49290	50790	42170
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"49.2_49.4 Landtransport med gods"	"Begge kjønn"	34650	34960	32650	35820	36090	33260	36710	37030	33490	37730	38060	34480	38790	39090	35650	39630	39880	36870	40690	41020	37340	42710	43160	38210
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"49.2_49.4 Landtransport med gods"	"Menn"	34700	35000	32620	35890	36130	33320	36770	37050	33360	37790	38090	34360	38830	39120	35330	39710	39950	36790	40750	41060	37140	42790	43210	37970
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"49.2_49.4 Landtransport med gods"	"Kvinner"	34080	34480	32830	34940	35550	33020	36060	36690	33970	37120	37730	34980	38360	38720	36960	38700	39090	37180	40030	40500	38160	41910	42530	39270
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"50.1 Sjøfart og kysttrafikk med passasjerer"	"Begge kjønn"	41600	42020	36690	43750	44200	38390	44880	45360	38770	45890	46400	39210	48470	49090	39820	49660	50190	41380	50590	51170	42150	53020	53770	42070
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"50.1 Sjøfart og kysttrafikk med passasjerer"	"Menn"	43740	43990	39770	45950	46270	41160	47180	47530	41480	48030	48410	41580	51060	51580	42170	51660	52090	43810	52750	53290	43990	55330	55990	44060
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"50.1 Sjøfart og kysttrafikk med passasjerer"	"Kvinner"	36010	36470	32840	37820	38280	34130	38710	39170	35040	40020	40540	35990	41910	42500	36340	42940	43560	36560	44110	44640	38200	46360	47130	38500
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"50.2 Sjøfart og kysttrafikk med gods"	"Begge kjønn"	61350	61500	55260	61660	62400	42980	63040	63720	44990	64690	65560	43080	67660	68440	46790	67630	68470	45450	68080	68900	44900	72030	72850	48540
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"50.2 Sjøfart og kysttrafikk med gods"	"Menn"	62760	62720	65920	62930	63500	43610	64310	64800	46490	65840	66560	42620	68660	69230	47640	68670	69370	45040	69210	69930	43820	72730	73430	47850
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"50.2 Sjøfart og kysttrafikk med gods"	"Kvinner"	51100	51840	44170	52460	53770	41810	53500	54860	42190	56380	57780	44060	60500	62330	45320	60170	61550	46380	59660	60740	47620	66890	68360	50270
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"51 Lufttransport"	"Begge kjønn"	58960	60290	51640	57960	58990	52450	59660	61260	51880	61980	63420	55050	64260	66610	53710	66800	70310	53270	68220	69550	59390	68330	69810	60740
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"51 Lufttransport"	"Menn"	71780	71540	74210	70220	69840	73910	72210	72190	72360	74780	74430	77750	76970	77270	74640	76770	78470	66300	81400	81080	85180	80990	80910	81530
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"51 Lufttransport"	"Kvinner"	38110	37820	38940	38480	37940	40050	39540	39430	39800	41190	41300	40900	42830	43780	40600	45760	47690	42080	43920	44230	42860	45710	46540	43180
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"52 Transporttjenester og lagring"	"Begge kjønn"	45690	47180	35220	47190	48720	36340	47590	48950	36320	49380	50670	38050	50760	52010	39490	52470	53710	39340	54340	55830	39850	56970	58490	42420
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"52 Transporttjenester og lagring"	"Menn"	47390	48700	35700	48930	50400	36970	49200	50420	36750	51020	52150	38740	52390	53490	40270	54170	55290	40030	55780	57150	40310	58860	60250	43420
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"52 Transporttjenester og lagring"	"Kvinner"	40960	42470	34510	42270	43690	35180	42860	44230	35610	44500	45890	36920	45960	47300	38190	47290	48610	38110	49870	51480	38940	51420	53050	40580
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"53 Post og distribusjonsvirksomhet"	"Begge kjønn"	36730	38170	33600	37240	38030	34660	37840	38670	34910	38720	39710	35110	39680	40760	35570	41190	42780	36940	42690	44190	38570	44770	46420	40040
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"53 Post og distribusjonsvirksomhet"	"Menn"	36760	38080	33500	37190	37940	34420	37750	38560	34530	38580	39520	34700	39510	40580	35010	41000	42410	36870	42480	43790	38620	44340	45790	39900
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"53 Post og distribusjonsvirksomhet"	"Kvinner"	36660	38370	33760	37330	38250	35040	38020	38930	35530	39040	40180	35800	40080	41190	36600	41660	43790	37070	43230	45270	38450	45880	48150	40340
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"55 Overnattingsvirksomhet"	"Begge kjønn"	29460	31520	26340	31070	32370	28170	31950	33180	29160	33080	34320	30180	34130	35400	31020	35330	36840	31390	35430	36930	32120	37660	39400	33840
